FIRST_NAME,Designation,SALARY,DOB
Donald,SH_CLERK,2600,12/2/1987
Douglas,SH_CLERK,2600,15-11-1982
Jennifer,AD_ASST,4400,22-02-1986
Michael,MK_MAN,13000,25-05-1977
Pat,MK_REP,6000,4/4/1995
Susan,HR_REP,6500,13-02-1989
Hermann,PR_REP,10000,6/5/1983
Shelley,AC_MGR,12008,11/4/1986
William,AC_ACCOUNT,8300,6/1/1995
Steven,AD_PRES,24000,21-06-1985
Neena,AD_VP,17000,31-07-1978
Lex,AD_VP,17000,3/2/1975
Alexander,IT_PROG,9000,17-12-1990
Bruce,IT_PROG,6000,2/5/1978
David,IT_PROG,4800,19-11-1974
Valli,IT_PROG,4800,27-08-1972
Diana,IT_PROG,4200,26-10-1987
Nancy,FI_MGR,12008,31-01-1968
Daniel,FI_ACCOUNT,9000,3/10/1968
John,FI_ACCOUNT,8200,12/2/1981
Ismael,FI_ACCOUNT,7700,7/9/1985
Jose Manuel,FI_ACCOUNT,7800,19-06-1983
Luis,FI_ACCOUNT,6900,21-11-1962
Den,PU_MAN,11000,13-03-1974
Alexander,PU_CLERK,3100,30-10-1985
Shelli,PU_CLERK,2900,25-01-1967
Sigal,PU_CLERK,2800,3/1/1955
Guy,PU_CLERK,2600,5/5/1979
Karen,PU_CLERK,2500,17-10-1988
Matthew,ST_MAN,8000,28-03-1978
Adam,ST_MAN,8200,17-11-1953
Payam,ST_MAN,7900,28-09-1969
Shanta,ST_MAN,6500,2/7/1962
Kevin,ST_MAN,5800,20-11-1954
Julia,ST_CLERK,3200,12/2/1964
Irene,ST_CLERK,2700,4/2/1974
James,ST_CLERK,2400,3/2/1975
Steven,ST_CLERK,2200,27-07-1974
Laura,ST_CLERK,3300,14-10-1972
Mozhe,ST_CLERK,2800,5/7/1964
James,ST_CLERK,2500,15-11-1988
TJ,ST_CLERK,2100,3/9/1988
Jason,ST_CLERK,3300,31-10-1986
Michael,ST_CLERK,2900,11/6/1972
Ki,ST_CLERK,2400,1/3/1977
Hazel,ST_CLERK,2200,4/4/1974
Renske,ST_CLERK,3600,24-02-1976
Stephen,ST_CLERK,3200,18-12-1969
John,ST_CLERK,2700,17-02-1975
Joshua,ST_CLERK,2500,17-09-1965
